product_id,product_name,therapeutic_area,launch_year,list_price
PROD001,CardioMax,Cardiology,2016,327.81
PROD002,GlycoCare,Cardiology,2023,716.73
PROD003,NeuroPlus,Neurology,2017,569.1
PROD004,OncoRelief,Diabetes,2024,479.09
PROD005,Immunex,Diabetes,2018,180.31
PROD006,HeartSure,Diabetes,2010,180.3
PROD007,GlucosePro,Cardiology,2015,114.21
PROD008,NeuroCalm,Immunology,2023,659.67
PROD009,TumorClear,Cardiology,2020,480.75
PROD010,ImmuneGuard,Immunology,2018,552.95
PROD011,VascuEase,Oncology,2014,88.89
PROD012,InsuBalance,Cardiology,2016,729.69
PROD013,MigraFree,Cardiology,2020,636.9
PROD014,CellShield,Cardiology,2013,218.33
PROD015,AllerBlock,Diabetes,2012,197.73
PROD016,PulseRX,Diabetes,2022,198.8
PROD017,SugarStat,Immunology,2013,280.36
PROD018,BrainWell,Immunology,2021,429.21
PROD019,OncoNova,Cardiology,2021,366.56
PROD020,BioDefend,Immunology,2018,271.58
